ID,SORTLEN,IS_DEFAULT,IS_COMPILED,COLLATION_NAME,CHARACTER_SET_NAME
1,1,Yes,Yes,big5_chinese_ci,big5
84,1,<blank>,Yes,big5_bin,big5
3,1,Yes,Yes,dec8_swedish_ci,dec8
69,1,<blank>,Yes,dec8_bin,dec8
4,1,Yes,Yes,cp850_general_ci,cp850
80,1,<blank>,Yes,cp850_bin,cp850
6,1,Yes,Yes,hp8_english_ci,hp8
72,1,<blank>,Yes,hp8_bin,hp8
7,1,Yes,Yes,koi8r_general_ci,koi8r
74,1,<blank>,Yes,koi8r_bin,koi8r
5,1,<blank>,Yes,latin1_german1_ci,latin1
8,1,Yes,Yes,latin1_swedish_ci,latin1
15,1,<blank>,Yes,latin1_danish_ci,latin1
31,2,<blank>,Yes,latin1_german2_ci,latin1
47,1,<blank>,Yes,latin1_bin,latin1
48,1,<blank>,Yes,latin1_general_ci,latin1
49,1,<blank>,Yes,latin1_general_cs,latin1
94,1,<blank>,Yes,latin1_spanish_ci,latin1
2,4,<blank>,Yes,latin2_czech_cs,latin2
9,1,Yes,Yes,latin2_general_ci,latin2
21,1,<blank>,Yes,latin2_hungarian_ci,latin2
27,1,<blank>,Yes,latin2_croatian_ci,latin2
77,1,<blank>,Yes,latin2_bin,latin2
10,1,Yes,Yes,swe7_swedish_ci,swe7
82,1,<blank>,Yes,swe7_bin,swe7
11,1,Yes,Yes,ascii_general_ci,ascii
65,1,<blank>,Yes,ascii_bin,ascii
12,1,Yes,Yes,ujis_japanese_ci,ujis
91,1,<blank>,Yes,ujis_bin,ujis
13,1,Yes,Yes,sjis_japanese_ci,sjis
88,1,<blank>,Yes,sjis_bin,sjis
16,1,Yes,Yes,hebrew_general_ci,hebrew
71,1,<blank>,Yes,hebrew_bin,hebrew
18,4,Yes,Yes,tis620_thai_ci,tis620
89,1,<blank>,Yes,tis620_bin,tis620
19,1,Yes,Yes,euckr_korean_ci,euckr
85,1,<blank>,Yes,euckr_bin,euckr
22,1,Yes,Yes,koi8u_general_ci,koi8u
75,1,<blank>,Yes,koi8u_bin,koi8u
24,1,Yes,Yes,gb2312_chinese_ci,gb2312
86,1,<blank>,Yes,gb2312_bin,gb2312
25,1,Yes,Yes,greek_general_ci,greek
70,1,<blank>,Yes,greek_bin,greek
26,1,Yes,Yes,cp1250_general_ci,cp1250
34,2,<blank>,Yes,cp1250_czech_cs,cp1250
44,1,<blank>,Yes,cp1250_croatian_ci,cp1250
66,1,<blank>,Yes,cp1250_bin,cp1250
99,1,<blank>,Yes,cp1250_polish_ci,cp1250
28,1,Yes,Yes,gbk_chinese_ci,gbk
87,1,<blank>,Yes,gbk_bin,gbk
30,1,Yes,Yes,latin5_turkish_ci,latin5
78,1,<blank>,Yes,latin5_bin,latin5
32,1,Yes,Yes,armscii8_general_ci,armscii8
64,1,<blank>,Yes,armscii8_bin,armscii8
33,1,Yes,Yes,utf8_general_ci,utf8
83,1,<blank>,Yes,utf8_bin,utf8
192,8,<blank>,Yes,utf8_unicode_ci,utf8
193,8,<blank>,Yes,utf8_icelandic_ci,utf8
