EXTRA,DATA_TYPE,TABLE_NAME,COLUMN_KEY,IS_NULLABLE,COLUMN_TYPE,COLUMN_NAME,TABLE_SCHEMA,PRIVILEGES,NUMERIC_SCALE,TABLE_CATALOG,COLUMN_COMMENT,COLUMN_DEFAULT,COLLATION_NAME,ORDINAL_POSITION,NUMERIC_PRECISION,CHARACTER_SET_NAME,CHARACTER_OCTET_LENGTH,CHARACTER_MAXIMUM_LENGTH
<blank>,varchar,CHARACTER_SETS,<blank>,NO,varchar(32),CHARACTER_SET_NAME,information_schema,select,NULL,def,<blank>,<blank>,utf8_general_ci,1,NULL,utf8,96,32
<blank>,varchar,CHARACTER_SETS,<blank>,NO,varchar(32),DEFAULT_COLLATE_NAME,information_schema,select,NULL,def,<blank>,<blank>,utf8_general_ci,2,NULL,utf8,96,32
<blank>,varchar,CHARACTER_SETS,<blank>,NO,varchar(60),DESCRIPTION,information_schema,select,NULL,def,<blank>,<blank>,utf8_general_ci,3,NULL,utf8,180,60
<blank>,bigint,CHARACTER_SETS,<blank>,NO,bigint(3),MAXLEN,information_schema,select,0,def,<blank>,0,NULL,4,19,NULL,NULL,NULL
<blank>,varchar,COLLATIONS,<blank>,NO,varchar(32),COLLATION_NAME,information_schema,select,NULL,def,<blank>,<blank>,utf8_general_ci,1,NULL,utf8,96,32
<blank>,varchar,COLLATIONS,<blank>,NO,varchar(32),CHARACTER_SET_NAME,information_schema,select,NULL,def,<blank>,<blank>,utf8_general_ci,2,NULL,utf8,96,32
<blank>,bigint,COLLATIONS,<blank>,NO,bigint(11),ID,information_schema,select,0,def,<blank>,0,NULL,3,19,NULL,NULL,NULL
<blank>,varchar,COLLATIONS,<blank>,NO,varchar(3),IS_DEFAULT,information_schema,select,NULL,def,<blank>,<blank>,utf8_general_ci,4,NULL,utf8,9,3
<blank>,varchar,COLLATIONS,<blank>,NO,varchar(3),IS_COMPILED,information_schema,select,NULL,def,<blank>,<blank>,utf8_general_ci,5,NULL,utf8,9,3
<blank>,bigint,COLLATIONS,<blank>,NO,bigint(3),SORTLEN,information_schema,select,0,def,<blank>,0,NULL,6,19,NULL,NULL,NULL
<blank>,varchar,COLLATION_CHARACTER_SET_APPLICABILITY,<blank>,NO,varchar(32),COLLATION_NAME,information_schema,select,NULL,def,<blank>,<blank>,utf8_general_ci,1,NULL,utf8,96,32
<blank>,varchar,COLLATION_CHARACTER_SET_APPLICABILITY,<blank>,NO,varchar(32),CHARACTER_SET_NAME,information_schema,select,NULL,def,<blank>,<blank>,utf8_general_ci,2,NULL,utf8,96,32
<blank>,varchar,COLUMNS,<blank>,NO,varchar(512),TABLE_CATALOG,information_schema,select,NULL,def,<blank>,<blank>,utf8_general_ci,1,NULL,utf8,1536,512
<blank>,varchar,COLUMNS,<blank>,NO,varchar(64),TABLE_SCHEMA,information_schema,select,NULL,def,<blank>,<blank>,utf8_general_ci,2,NULL,utf8,192,64
<blank>,varchar,COLUMNS,<blank>,NO,varchar(64),TABLE_NAME,information_schema,select,NULL,def,<blank>,<blank>,utf8_general_ci,3,NULL,utf8,192,64
<blank>,varchar,COLUMNS,<blank>,NO,varchar(64),COLUMN_NAME,information_schema,select,NULL,def,<blank>,<blank>,utf8_general_ci,4,NULL,utf8,192,64
<blank>,bigint,COLUMNS,<blank>,NO,bigint(21) unsigned,ORDINAL_POSITION,information_schema,select,0,def,<blank>,0,NULL,5,20,NULL,NULL,NULL
<blank>,longtext,COLUMNS,<blank>,YES,longtext,COLUMN_DEFAULT,information_schema,select,NULL,def,<blank>,NULL,utf8_general_ci,6,NULL,utf8,4294967295,4294967295
