VARIABLE_NAME,VARIABLE_VALUE
MAX_PREPARED_STMT_COUNT,16382
INNODB_BUFFER_POOL_SIZE,134217728
HAVE_CRYPT,YES
PERFORMANCE_SCHEMA_EVENTS_WAITS_HISTORY_LONG_SIZE,10000
INNODB_VERSION,5.5.44
QUERY_PREALLOC_SIZE,8192
DELAYED_QUEUE_SIZE,1000
PERFORMANCE_SCHEMA_MAX_COND_INSTANCES,1000
SSL_CIPHER,<blank>
COLLATION_SERVER,latin1_swedish_ci
SECURE_FILE_PRIV,<blank>
TIMED_MUTEXES,OFF
DELAYED_INSERT_TIMEOUT,300
PERFORMANCE_SCHEMA_MAX_MUTEX_INSTANCES,1000000
LC_TIME_NAMES,en_US
PERFORMANCE_SCHEMA_MAX_RWLOCK_INSTANCES,1000000
TIME_FORMAT,%H:%i:%s
PERFORMANCE_SCHEMA_MAX_RWLOCK_CLASSES,30
BASEDIR,/usr
PERFORMANCE_SCHEMA_MAX_MUTEX_CLASSES,200
UPDATABLE_VIEWS_WITH_LIMIT,YES
BACK_LOG,50
SLOW_LAUNCH_TIME,2
EVENT_SCHEDULER,OFF
MAX_SEEKS_FOR_KEY,4294967295
PERFORMANCE_SCHEMA_MAX_THREAD_CLASSES,50
RELAY_LOG_INDEX,<blank>
FT_STOPWORD_FILE,(built-in)
SQL_QUOTE_SHOW_CREATE,ON
PERFORMANCE_SCHEMA,OFF
QUERY_CACHE_SIZE,16777216
BINLOG_FORMAT,STATEMENT
WAIT_TIMEOUT,28800
LONG_QUERY_TIME,10.000000
PERFORMANCE_SCHEMA_MAX_TABLE_HANDLES,100000
CHARACTER_SETS_DIR,/usr/share/mysql/charsets/
LOWER_CASE_TABLE_NAMES,0
BINLOG_CACHE_SIZE,32768
REPORT_HOST,<blank>
CHARACTER_SET_RESULTS,latin1
MYISAM_SORT_BUFFER_SIZE,8388608
CHARACTER_SET_CONNECTION,latin1
INNODB_ROLLBACK_SEGMENTS,128
PRELOAD_BUFFER_SIZE,32768
LARGE_FILES_SUPPORT,ON
MAX_WRITE_LOCK_COUNT,4294967295
SQL_SAFE_UPDATES,OFF
MAX_JOIN_SIZE,18446744073709551615
NET_BUFFER_LENGTH,16384
FT_QUERY_EXPANSION_LIMIT,20
SKIP_SHOW_DATABASE,OFF
FT_MAX_WORD_LEN,84
GROUP_CONCAT_MAX_LEN,1024
MAX_SP_RECURSION_DEPTH,0
RANGE_ALLOC_BLOCK_SIZE,4096
SYNC_RELAY_LOG,0
OPTIMIZER_PRUNE_LEVEL,1
HAVE_QUERY_CACHE,YES
INNODB_LOG_FILE_SIZE,5242880
DELAY_KEY_WRITE,ON
TRANSACTION_PREALLOC_SIZE,4096
INTERACTIVE_TIMEOUT,28800
MYISAM_RECOVER_OPTIONS,BACKUP
AUTOMATIC_SP_PRIVILEGES,ON
PROTOCOL_VERSION,10
DELAYED_INSERT_LIMIT,100
LOW_PRIORITY_UPDATES,OFF
COMPLETION_TYPE,NO_CHAIN
REPORT_PASSWORD,<blank>
BINLOG_DIRECT_NON_TRANSACTIONAL_UPDATES,OFF
MAX_INSERT_DELAYED_THREADS,20
VERSION_COMMENT,(Ubuntu)
SQL_BIG_SELECTS,ON
AUTO_INCREMENT_OFFSET,1
TRANSACTION_ALLOC_BLOCK_SIZE,8192
JOIN_BUFFER_SIZE,131072
THREAD_CACHE_SIZE,8
CONNECT_TIMEOUT,10
INNODB_DOUBLEWRITE,ON
SQL_LOW_PRIORITY_UPDATES,OFF
IGNORE_BUILTIN_INNODB,OFF
INIT_FILE,<blank>
DEFAULT_WEEK_FORMAT,0
LARGE_PAGES,OFF
LOG_OUTPUT,FILE
LARGE_PAGE_SIZE,0
INNODB_IO_CAPACITY,200
INIT_SLAVE,<blank>
INNODB_USE_NATIVE_AIO,OFF
MAX_BINLOG_SIZE,104857600
HAVE_SYMLINK,YES
MAX_ERROR_COUNT,64
TIME_ZONE,SYSTEM
MAX_CONNECTIONS,151
INNODB_TABLE_LOCKS,ON
PROXY_USER,<blank>
INNODB_AUTOEXTEND_INCREMENT,8
READ_BUFFER_SIZE,131072
MYISAM_DATA_POINTER_SIZE,6
PSEUDO_THREAD_ID,221
INNODB_THREAD_SLEEP_DELAY,10000
LOG_QUERIES_NOT_USING_INDEXES,OFF
SQL_AUTO_IS_NULL,OFF
LOWER_CASE_FILE_SYSTEM,OFF
SLAVE_TRANSACTION_RETRIES,10
SORT_BUFFER_SIZE,2097152
KEEP_FILES_ON_CREATE,OFF
MAX_HEAP_TABLE_SIZE,16777216
SYNC_RELAY_LOG_INFO,0
LOCK_WAIT_TIMEOUT,31536000
INNODB_REPLICATION_DELAY,0
KEY_CACHE_AGE_THRESHOLD,300
QUERY_CACHE_MIN_RES_UNIT,4096
NET_RETRY_COUNT,10
INNODB_STATS_ON_METADATA,ON
LOG_WARNINGS,1
INNODB_ROLLBACK_ON_TIMEOUT,OFF
FLUSH,OFF
PROFILING_HISTORY_SIZE,15
MAX_LONG_DATA_SIZE,16777216
INNODB_CHANGE_BUFFERING,all
CHARACTER_SET_SERVER,latin1
READ_RND_BUFFER_SIZE,262144
SLAVE_MAX_ALLOWED_PACKET,1073741824
INNODB_FILE_FORMAT,Antelope
FLUSH_TIME,0
BIG_TABLES,OFF
CHARACTER_SET_DATABASE,utf8
SQL_SELECT_LIMIT,18446744073709551615
BULK_INSERT_BUFFER_SIZE,8388608
DATE_FORMAT,%Y-%m-%d
CHARACTER_SET_FILESYSTEM,binary
READ_ONLY,OFF
BINLOG_STMT_CACHE_SIZE,32768
RAND_SEED1,0
