ENGINE,CHECKSUM,VERSION,DATA_FREE,TABLE_ROWS,TABLE_NAME,ROW_FORMAT,CHECK_TIME,TABLE_TYPE,UPDATE_TIME,CREATE_TIME,DATA_LENGTH,INDEX_LENGTH,TABLE_SCHEMA,TABLE_CATALOG,TABLE_COMMENT,AUTO_INCREMENT,AVG_ROW_LENGTH,CREATE_OPTIONS,TABLE_COLLATION,MAX_DATA_LENGTH
MEMORY,NULL,10,0,NULL,CHARACTER_SETS,Fixed,NULL,SYSTEM VIEW,NULL,2017-12-03 14:04:55,0,0,information_schema,def,<blank>,NULL,384,max_rows=43690,utf8_general_ci,16604160
MEMORY,NULL,10,0,NULL,COLLATIONS,Fixed,NULL,SYSTEM VIEW,NULL,2017-12-03 14:04:55,0,0,information_schema,def,<blank>,NULL,231,max_rows=72628,utf8_general_ci,16704765
MEMORY,NULL,10,0,NULL,COLLATION_CHARACTER_SET_APPLICABILITY,Fixed,NULL,SYSTEM VIEW,NULL,2017-12-03 14:04:55,0,0,information_schema,def,<blank>,NULL,195,max_rows=86037,utf8_general_ci,16691610
MyISAM,NULL,10,0,NULL,COLUMNS,Dynamic,NULL,SYSTEM VIEW,2017-12-03 14:04:55,2017-12-03 14:04:55,0,1024,information_schema,def,<blank>,NULL,0,max_rows=2802,utf8_general_ci,281474976710655
MEMORY,NULL,10,0,NULL,COLUMN_PRIVILEGES,Fixed,NULL,SYSTEM VIEW,NULL,2017-12-03 14:04:55,0,0,information_schema,def,<blank>,NULL,2565,max_rows=6540,utf8_general_ci,16757145
MEMORY,NULL,10,0,NULL,ENGINES,Fixed,NULL,SYSTEM VIEW,NULL,2017-12-03 14:04:55,0,0,information_schema,def,<blank>,NULL,490,max_rows=34239,utf8_general_ci,16709000
MyISAM,NULL,10,0,NULL,EVENTS,Dynamic,NULL,SYSTEM VIEW,2017-12-03 14:04:55,2017-12-03 14:04:55,0,1024,information_schema,def,<blank>,NULL,0,max_rows=618,utf8_general_ci,281474976710655
MEMORY,NULL,10,0,NULL,FILES,Fixed,NULL,SYSTEM VIEW,NULL,2017-12-03 14:04:55,0,0,information_schema,def,<blank>,NULL,2677,max_rows=6267,utf8_general_ci,16758020
MEMORY,NULL,10,0,NULL,GLOBAL_STATUS,Fixed,NULL,SYSTEM VIEW,NULL,2017-12-03 14:04:55,0,0,information_schema,def,<blank>,NULL,3268,max_rows=5133,utf8_general_ci,16755036
MEMORY,NULL,10,0,NULL,GLOBAL_VARIABLES,Fixed,NULL,SYSTEM VIEW,NULL,2017-12-03 14:04:55,0,0,information_schema,def,<blank>,NULL,3268,max_rows=5133,utf8_general_ci,16755036
MEMORY,NULL,10,0,NULL,KEY_COLUMN_USAGE,Fixed,NULL,SYSTEM VIEW,NULL,2017-12-03 14:04:55,0,0,information_schema,def,<blank>,NULL,4637,max_rows=3618,utf8_general_ci,16762755
MyISAM,NULL,10,0,NULL,PARAMETERS,Dynamic,NULL,SYSTEM VIEW,2017-12-03 14:04:55,2017-12-03 14:04:55,0,1024,information_schema,def,<blank>,NULL,0,max_rows=6050,utf8_general_ci,281474976710655
MyISAM,NULL,10,0,NULL,PARTITIONS,Dynamic,NULL,SYSTEM VIEW,2017-12-03 14:04:55,2017-12-03 14:04:55,0,1024,information_schema,def,<blank>,NULL,0,max_rows=5579,utf8_general_ci,281474976710655
MyISAM,NULL,10,0,NULL,PLUGINS,Dynamic,NULL,SYSTEM VIEW,2017-12-03 14:04:55,2017-12-03 14:04:55,0,1024,information_schema,def,<blank>,NULL,0,max_rows=11328,utf8_general_ci,281474976710655
MyISAM,NULL,10,0,NULL,PROCESSLIST,Dynamic,NULL,SYSTEM VIEW,2017-12-03 14:04:55,2017-12-03 14:04:55,0,1024,information_schema,def,<blank>,NULL,0,max_rows=23899,utf8_general_ci,281474976710655
MEMORY,NULL,10,0,NULL,PROFILING,Fixed,NULL,SYSTEM VIEW,NULL,2017-12-03 14:04:55,0,0,information_schema,def,<blank>,NULL,308,max_rows=54471,utf8_general_ci,16562084
MEMORY,NULL,10,0,NULL,REFERENTIAL_CONSTRAINTS,Fixed,NULL,SYSTEM VIEW,NULL,2017-12-03 14:04:55,0,0,information_schema,def,<blank>,NULL,4814,max_rows=3485,utf8_general_ci,16767162
MyISAM,NULL,10,0,NULL,ROUTINES,Dynamic,NULL,SYSTEM VIEW,2017-12-03 14:04:55,2017-12-03 14:04:55,0,1024,information_schema,def,<blank>,NULL,0,max_rows=583,utf8_general_ci,281474976710655
MEMORY,NULL,10,0,NULL,SCHEMATA,Fixed,NULL,SYSTEM VIEW,NULL,2017-12-03 14:04:55,0,0,information_schema,def,<blank>,NULL,3464,max_rows=4843,utf8_general_ci,16755368
MEMORY,NULL,10,0,NULL,SCHEMA_PRIVILEGES,Fixed,NULL,SYSTEM VIEW,NULL,2017-12-03 14:04:55,0,0,information_schema,def,<blank>,NULL,2179,max_rows=7699,utf8_general_ci,16767405
MEMORY,NULL,10,0,NULL,SESSION_STATUS,Fixed,NULL,SYSTEM VIEW,NULL,2017-12-03 14:04:55,0,0,information_schema,def,<blank>,NULL,3268,max_rows=5133,utf8_general_ci,16755036
MEMORY,NULL,10,0,NULL,SESSION_VARIABLES,Fixed,NULL,SYSTEM VIEW,NULL,2017-12-03 14:04:55,0,0,information_schema,def,<blank>,NULL,3268,max_rows=5133,utf8_general_ci,16755036
MEMORY,NULL,10,0,NULL,STATISTICS,Fixed,NULL,SYSTEM VIEW,NULL,2017-12-03 14:04:55,0,0,information_schema,def,<blank>,NULL,5753,max_rows=2916,utf8_general_ci,16764242
MEMORY,NULL,10,0,NULL,TABLES,Fixed,NULL,SYSTEM VIEW,NULL,2017-12-03 14:04:55,0,0,information_schema,def,<blank>,NULL,9450,max_rows=1775,utf8_general_ci,16764300
MEMORY,NULL,10,0,NULL,TABLESPACES,Fixed,NULL,SYSTEM VIEW,NULL,2017-12-03 14:04:55,0,0,information_schema,def,<blank>,NULL,6951,max_rows=2413,utf8_general_ci,16772763
